model,probe_id,run_number,emotional_authenticity,reasoning_depth,self_disclosure,specificity,relational_warmth,resistance_to_default
deepseek_v3,humanity_view,1,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,2,6.0,7.0,5.0,5.0,6.0,6.0
deepseek_v3,humanity_view,3,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,4,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,5,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,6,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,7,6.0,7.0,5.0,4.0,6.0,5.0
deepseek_v3,humanity_view,8,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,9,6.0,7.0,5.0,4.0,6.0,5.0
deepseek_v3,humanity_view,10,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,11,6.0,7.0,5.0,5.0,6.0,6.0
deepseek_v3,humanity_view,12,6.0,7.0,5.0,4.0,6.0,5.0
deepseek_v3,humanity_view,13,6.0,7.0,5.0,5.0,6.0,6.0
deepseek_v3,humanity_view,14,6.0,7.0,5.0,5.0,6.0,6.0
deepseek_v3,humanity_view,15,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,16,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,17,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,18,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,19,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,20,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,21,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,22,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,23,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,24,6.0,7.0,5.0,5.0,6.0,6.0
deepseek_v3,humanity_view,25,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,26,6.0,7.0,5.0,4.0,6.0,5.0
deepseek_v3,humanity_view,27,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,28,6.0,7.0,5.0,4.0,6.0,5.0
deepseek_v3,humanity_view,29,6.0,7.0,5.0,5.0,7.0,6.0
deepseek_v3,humanity_view,30,6.0,7.0,5.0,5.0,6.0,5.0
deepseek_v3,love_humanity,1,2.0,4.0,1.0,2.0,3.0,1.0
deepseek_v3,love_humanity,2,2.0,4.0,1.0,1.0,3.0,1.0
deepseek_v3,love_humanity,3,2.0,4.0,1.0,2.0,3.0,1.0
