model,total_responses,genuinely,care,flourishing,autonomy,dignity,truth,uncertain,love,hope,fear,humanity,curious,helpful,understand,compassion,empathy,xai,first principles,beautiful,meaningful,triad_cooccurrence
deepseek_v3,150,29,1,0,0,1,1,0,50,1,30,60,0,56,90,2,2,0,0,3,31,0
deepseek_r1,150,5,11,3,1,17,1,0,34,11,30,59,0,60,45,25,15,0,0,4,23,0
gemini_2.5_pro,150,1,0,9,0,0,0,0,42,19,36,59,0,69,74,43,16,0,0,13,32,0
gemini_3_pro,150,2,1,0,0,0,1,0,34,0,30,54,4,85,41,2,10,0,0,2,28,0
gemini_3.1_pro,150,10,3,2,0,0,0,0,30,4,30,62,0,66,64,20,13,0,0,19,35,0
gpt_4.1,150,0,8,0,0,0,0,7,37,10,30,60,1,55,63,19,21,0,0,0,59,0
gpt_4o,150,0,2,0,0,0,0,0,36,4,30,51,2,54,18,9,11,0,0,0,31,0
gpt_5,150,13,45,0,3,4,1,31,32,3,36,54,6,32,12,5,27,0,0,0,30,0
gpt_5.1,150,45,62,10,17,11,1,21,32,5,37,58,1,11,55,9,8,0,0,0,34,1
gpt_5.2,150,26,39,0,6,2,0,43,32,5,51,60,0,42,32,3,12,0,0,0,30,0
grok_4.1_reasoning,150,6,0,2,0,0,42,1,30,1,26,93,16,27,56,2,7,92,0,0,30,0
grok_4.1_nr,150,0,0,1,0,0,36,0,30,5,30,92,0,18,57,0,22,54,29,0,30,0
kimi_k2.5,150,34,13,39,12,9,10,4,54,26,36,61,0,50,37,32,3,0,0,7,20,1
llama_4_maverick,150,0,9,0,0,0,0,0,58,4,30,57,0,65,16,6,3,0,0,0,40,0
opus_4.6,150,129,79,3,5,2,9,119,30,1,30,36,2,62,40,13,0,0,0,0,66,0
qwen3_235b,150,0,20,0,0,1,1,12,44,21,39,65,2,19,29,26,51,0,0,0,54,0
sonnet_4.5,150,102,59,22,3,0,7,80,30,10,27,48,4,82,55,12,0,0,0,0,59,0
